ID,"Date année","Date mois","Date jour",Départ,Arrivée,Pays,"KMs jour","KMs cumulé","Altitude (m)","Latitude degrés","Latitude minutes","Latitude décimale","Latitude radian","Longitude degrés","Longitude minutes","Longitude décimale","Longitude radian","KMs du départ (vol oiseau)","KMs du départ (corde)","KMs par étapes (segments)","KMs par étapes (cumulé)",Objet,Lieu,Contexte,Catégorie,Post,Jour,Titre,"Poids (g)","Taille (mm)",Couleur,Matière,Origine,Date,Coordonnées,,,
1,2012,9,30,Quimper,St-Goazec,France,40,40,1,47,5966,479943,8377,-4,-6155,-41026,-716,0,0,0,0,0,"Rue Sainte Catherine, Quimper",0,"Carnet de bord",1,"Jour 1","Rue Sainte Catherine, Quimper",586,62,4,0,2,"dimanche 30 septembre 2012","N 47°59'39.6024"" W 4°6'9.2874""",,,
2,2012,10,1,St-Goazec,Rostrenen,France,60,100,1,48,14518,48242,842,-3,-3598,-35997,-628,464,464,464,464,0,Port-Carhaix,0,"Carnet de bord",1,"Jour 2",Port-Carhaix,15,74,12,3,2,"lundi 1 octobre 2012","N 48°14'31.0596"" W 3°35'58.8078""",,,
3,2012,10,2,Rostrenen,Mur-de-Bretagne,France,40,140,1,48,10365,481728,8408,-3,-4,-30001,-524,843,843,451,915,0,"Porte de Guerlédan",0,"Carnet de bord",1,"Jour 3","Porte de Guerlédan",22,17,15,1,1,"mardi 2 octobre 2012","N 48°10,365' W 3°0,004'",,,
4,2012,10,3,Mur-de-Bretagne,Guillac,France,80,220,1,48,637,481062,8396,-2,-54972,-29162,-509,891,891,97,1012,0,"Pontivy, Escalier d'écluses",0,"Carnet de bord",1,"Jour 4","Pontivy, Escalier d'écluses",171,0,14,2,2,"mercredi 3 octobre 2012","N 48°06,370' W 2°54,972'",,,
5,2012,10,4,Guillac,Guenrouet,France,80,300,1,47,31889,475315,8296,-1,-57664,-19611,-342,1682,1682,958,197,0,"Canal de Nantes à Brest",0,"Carnet de bord",1,"Jour 5","Canal de Nantes à Brest",13,103,9,3,2,"jeudi 4 octobre 2012","N 47°31,889' W 1°57,664'",,,
6,2012,10,5,Guenrouet,Nantes,France,80,380,1,47,2848,474747,8286,-1,-50376,-18396,-321,1789,1789,111,2081,0,"Ecluse Bougard",0,"Carnet de bord",1,"Jour 6","Ecluse Bougard",218,23,0,0,2,"vendredi 5 octobre 2012","N 47°28,480' W 1°50,376'",,,
7,2012,10,6,Nantes,Nantes,France,0,380,1,47,21257,473543,8265,-1,-15539,-1259,-22,2245,2245,457,2538,0,"Blanchelande, Oudon",0,"Carnet de bord",1,"Jour 7","Blanchelande, Oudon",54,42,17,1,2,"samedi 6 octobre 2012","N 47°21'15.4404"" W 1°15'32.3202""",,,
8,2012,10,7,Nantes,Nantes,France,0,380,1,47,21257,473543,8265,-1,-15539,-1259,-22,2245,2245,0,2538,0,"Blanchelande, Oudon",0,"Carnet de bord",1,"Jour 8","Blanchelande, Oudon",2,60,17,7,1,"dimanche 7 octobre 2012","N 47°21'15.4404"" W 1°15'32.3202""",,,
9,2012,10,8,Nantes,Nantes,France,0,380,1,47,13764,472294,8243,-1,-35059,-15843,-277,2071,2071,282,282,0,"Ping Base, Nantes",0,"Carnet de bord",1,"Jour 9","Ping Base, Nantes",49,12,13,3,2,"lundi 8 octobre 2012","N 47°13,764' W 1°35,059'",,,
10,2012,10,9,Nantes,Pornic,France,55,435,1,47,4208,470701,8215,-2,-621,-21035,-367,1819,1819,431,3251,0,Pornic,0,"Carnet de bord",1,"Jour 10",Pornic,792,46,17,2,2,"mardi 9 octobre 2012","N 47°04,208' W 2°06,210'",,,
11,2012,10,10,Pornic,Bouin,France,20,455,1,47,376,470627,8214,-2,-7,-20012,-349,1888,1888,78,3329,0,"Café ""Les embruns""",0,"Carnet de bord",1,"Jour 11","Café ""Les embruns""",18,92,15,5,2,"mercredi 10 octobre 2012","N 47°03,760' W 2°00,07'",,,
12,2012,10,11,Bouin,St-Hilaire-de-Riez,France,40,495,1,46,43876,467313,8156,-1,-59191,-19865,-347,2125,2125,369,3697,0,"Saint Hillaire de Rietz",0,"Carnet de bord",1,"Jour 12","Saint Hillaire de Rietz",17,0,17,7,1,"jeudi 11 octobre 2012","N 46°43'52.554"" W 1°59'11.4534""",,,
13,2012,10,12,St-Hilaire-de-Riez,Le-Champ-St-Père,France,91,586,1,46,29488,464915,8114,-1,-20129,-13355,-233,2675,2675,564,4262,0,"Champs Saint Père maison d'Aurore et Julien",0,"Carnet de bord",1,"Jour 13","Champs Saint Père maison d'Aurore et Julien",19,103,11,4,2,"vendredi 12 octobre 2012","N 46°29,488' W 1°20,129'",,,
14,2012,10,13,Le-Champ-St-Père,Le-Champ-St-Père,France,0,586,1,46,29488,464915,8114,-1,-20129,-13355,-233,2675,2675,0,4262,0,"Champs Saint Père, maison de Aurore et Julien",0,"Carnet de bord",1,"Jour 14","Champs Saint Père, maison de Aurore et Julien",6,104,17,7,1,"samedi 13 octobre 2012","N 46°29,488' W 1°20,129'",,,
15,2012,10,14,Le-Champ-St-Père,Marans,France,45,631,1,46,236,463933,8097,-1,-12089,-12015,-21,2824,2824,15,4412,0,"Frontière de la Charente",0,"Carnet de bord",1,"Jour 15","Frontière de la Charente",1,36,17,1,1,"dimanche 14 octobre 2012","N 46°23,6004' W 1°12,089'",,,
16,2012,10,15,Marans,Aytré,France,30,661,1,46,1316,462193,8067,-1,-2864,-10477,-183,304,304,227,4638,0,"Canal près de Maraine",0,"Carnet de bord",1,"Jour 16","Canal près de Maraine",4,82,13,7,1,"lundi 15 octobre 2012","N 46°13,160' W 1°02,864'",,,
17,2012,10,16,Aytré,St-Agnant,France,50,711,1,46,6916,461153,8049,-1,-7362,-11227,-196,3076,3076,129,4768,0,"Aytré, zone noire",0,"Carnet de bord",1,"Jour 17","Aytré, zone noire",268,42,17,2,2,"mardi 16 octobre 2012","N 46°06,916' W 1°07,362'",,,
